"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"786795","occ","","","20639","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Late Pleistocene","","0.126","0.0117","2018"
"786806","occ","","","84895","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Rancholabrean","","0.3","0.012","2018"
"786811","occ","","","84896","cf. Tursiops sp.","genus","36865","","Tursiops","genus","36865","Rancholabrean","","0.3","0.012","2018"
"786817","occ","","","20630","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Rancholabrean","","0.3","0.012","2018"
"786934","occ","","","84942","Lissodelphis n. sp. peronii","species","82071","","Lissodelphis peronii","species","82070","Holocene","","0.0117","0","12161"
"786935","occ","","","84943","Lissodelphis n. sp. borealis","species","63572","","Lissodelphis borealis","species","63571","Holocene","","0.0117","0","12161"
"786937","occ","","","67108","Delphinus n. sp. cortesii","species","64535","recombined as","Hemisyntrachelus cortesii","species","64535","Zanclean","","5.333","3.6","18166"
"786938","occ","","","84944","Delphinus n. sp. brocchii","species","70676","obsolete variant of","Tursiops brocchii","species","87357","Piacenzian","","3.6","2.588","24153"
"787237","occ","","","38499","Stenella sp.","genus","102903","","Stenella","genus","36854","Early Pleistocene","","2.588","0.781","28532"
"787332","occ","","","57731","Tursiops cortesii","species","63826","recombined as","Hemisyntrachelus cortesii","species","64535","Zanclean","Piacenzian","5.333","2.588","19618"
"787340","occ","21120","","48652","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Piacenzian","","3.6","2.588","28550"
"787341","occ","21140","","48652","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Piacenzian","","3.6","2.588","28550"
"787342","occ","","","85022","Tursiops cortesii","species","63826","recombined as","Hemisyntrachelus cortesii","species","64535","Zanclean","","5.333","3.6","15407"
"787343","occ","","","76977","Tursiops cortesii","species","63826","recombined as","Hemisyntrachelus cortesii","species","64535","Pliocene","","5.333","2.588","15407"
"787344","occ","","","71101","Tursiops cortesii","species","63826","recombined as","Hemisyntrachelus cortesii","species","64535","Piacenzian","","3.6","2.588","15407"
"787653","occ","","","56686","Delphinus n. sp. domeykoi","species","70701","","Delphinus domeykoi","species","70701","Zanclean","","5.333","3.6","16568"
"788241","occ","","","58420","Orca gladiator","species","69787","subjective synonym of","Orcinus orca","species","64540","Early Pleistocene","","2.588","0.781","28641"
"788242","occ","","","77754","Pseudorca crassidens","species","64544","","Pseudorca crassidens","species","64543","Middle Pleistocene","","0.781","0.126","28641"
"788246","occ","","","77750","Tursiops tursio","species","69756","subjective synonym of","Tursiops truncatus","species","102834","Early Pleistocene","","2.588","0.781","28641"
"794915","occ","","","86305","Tursiops cortesii","species","63826","recombined as","Hemisyntrachelus cortesii","species","64535","Piacenzian","","3.6","2.588","19618"
"795243","occ","","","86331","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Late Pleistocene","","0.126","0.0117","29092"
"796315","occ","21285","","52059","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Pliocene","","5.333","2.588","12278"
"798704","occ","","","86877","Delphinus n. sp. guianensis","species","71645","subjective synonym of","Sotalia fluviatilis","species","94788","Holocene","","0.0117","0","12161"
"798705","occ","","","86878","Sotalia n. sp. brasiliensis","species","69751","subjective synonym of","Sotalia fluviatilis","species","94788","Holocene","","0.0117","0","12161"
"798706","occ","","","86879","Sotalia n. sp. borneensis","species","94784","subjective synonym of","Sousa chinensis","species","82053","Holocene","","0.0117","0","12161"
"798707","occ","","","86880","Sotalia n. sp. chinensis","species","82054","recombined as","Sousa chinensis","species","82053","Holocene","","0.0117","0","12161"
"798708","occ","","","86881","Delphinus n. sp. fluviatilis","species","94788","recombined as","Sotalia fluviatilis","species","94788","Holocene","","0.0117","0","12161"
"798709","occ","","","86882","Delphinus (Steno) n. sp. lentiginosus","species","103705","subjective synonym of","Sousa chinensis","species","82053","Holocene","","0.0117","0","12161"
"798710","occ","","","86883","Sotalia n. sp. teuszii","species","69752","recombined as","Sousa teuszii","species","69752","Holocene","","0.0117","0","12161"
"798711","occ","","","86884","Delphinus n. sp. plumbeus","species","94786","recombined as","Sousa plumbea","species","94786","Holocene","","0.0117","0","12161"
"798712","occ","","","86873","Delphinus n. sp. coeruleoalbus","species","82061","recombined as","Stenella coeruleoalba","species","82061","Holocene","","0.0117","0","12161"
"798714","occ","","","86886","Delphinus n. sp. frontalis","species","82055","recombined as","Stenella frontalis","species","82055","Holocene","","0.0117","0","12161"
"798715","occ","","","86887","Prodelphinus n. sp. graffmani","species","112982","subjective synonym of","Delphinus attenuata","species","93945","Holocene","","0.0117","0","12161"
"798716","occ","","","86888","Stenella n. sp. pernettyi","species","146051","nomen oblitum","Delphinus","genus","36703","Holocene","","0.0117","0","12161"
"798717","occ","","","86889","Delphinus n. sp. aduncus","species","69766","recombined as","Tursiops aduncus","species","69766","Holocene","","0.0117","0","12161"
"798719","occ","","","86890","Delphinus n. sp. truncatus","species","64471","recombined as","Tursiops truncatus","species","102834","Holocene","","0.0117","0","12161"
"798720","occ","","","86891","Tursiops n. sp. gilli","species","90628","recombined as","Tursiops truncatus gillii","subspecies","69770","Holocene","","0.0117","0","12161"
"798722","occ","","","86893","Lagenodelphis n. sp. hosei","species","63574","","Lagenodelphis hosei","species","63574","Holocene","","0.0117","0","12161"
"798725","occ","","","86894","Delphinus n. sp. tursio","species","142135","replaced by","Lagenorhynchus albirostris","species","93926","Holocene","","0.0117","0","12161"
"798726","occ","","","86895","Lagenorhynchus n. sp. obliquidens","species","63815","invalid subgroup of","Lissodelphininae","subfamily","63525","Holocene","","0.0117","0","12161"
"798727","occ","","","86896","Delphinus n. sp. eutropia","species","82040","recombined as","Cephalorhynchus eutropia","species","82040","Holocene","","0.0117","0","12161"
"798728","occ","","","86897","Delphinus (Grampus) n. sp. heavisidei","species","82043","species not entered","Grampus","genus","82043","Holocene","","0.0117","0","12161"
"798729","occ","","","86882","Orca (Orcaella) n. sp. brevirostris","species","63582","recombined as","Orcaella brevirostris","species","63582","Holocene","","0.0117","0","12161"
"798730","occ","","","86898","Delphinus n. sp. griseus","species","63556","recombined as","Grampus griseus","species","63556","Holocene","","0.0117","0","12161"
"798731","occ","","","86899","Delphinus n. sp. melas","species","64473","recombined as","Globicephala melas","species","64473","Holocene","","0.0117","0","12161"
"798732","occ","","","86900","Delphinus n. sp. globiceps","species","142137","subjective synonym of","Globicephala macrorhynchus","species","69994","Holocene","","0.0117","0","12161"
"803459","occ","","","87489","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Zanclean","","5.333","3.6","29458"
"804481","occ","","","76977","Delphinus sp.","genus","36703","","Delphinus","genus","36703","Pliocene","","5.333","2.588","29503"
"804663","occ","","","87788","Delphinus sp.","genus","36703","","Delphinus","genus","36703","Pliocene","","5.333","2.588","29503"
"804664","occ","","","87788","Tursiops sp.","genus","36865","","Tursiops","genus","36865","Pliocene","","5.333","2.588","29503"
"805117","occ","","","87865","Lagenorhynchus sp.","genus","36746","","Lagenorhynchus","genus","36746","Tortonian","Messinian","11.62","5.333","12682"
"805118","occ","","","87865","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Tortonian","Messinian","11.62","5.333","12682"
"805235","occ","","","87884","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Waipipian","","3.6","3","29543"
"805236","occ","","","87885","Globicephala sp.","genus","36721","","Globicephala","genus","36721","Late Miocene","Pliocene","11.608","2.588","29544"
"805299","occ","","","87884","Delphinus aff. delphis","species","64534","","Delphinus delphis","species","64534","Waipipian","","3.6","3","29544"
"805300","occ","","","87896","Pseudorca ? sp.","genus","36837","","Pseudorca","genus","36837","Late Pliocene","","3.6","2.588","29544"
"805301","occ","","","74757","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Nukumaruan","","2.4","1.63","29544"
"805311","occ","","","87897","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Late Pleistocene","","0.126","0.0117","29544"
"813340","occ","","","89447","Stenella sp.","genus","102903","","Stenella","genus","36854","Zanclean","","5.333","3.6","16749"
"813341","occ","","","89447","Lissodelphis sp.","genus","63570","","Lissodelphis","genus","63570","Zanclean","","5.333","3.6","16749"
"813342","occ","","","89447","Hemisyntrachelus sp.","genus","36724","","Hemisyntrachelus","genus","87353","Zanclean","","5.333","3.6","16749"
"813343","occ","","","89447","Globicephala sp.","genus","36721","","Globicephala","genus","36721","Zanclean","","5.333","3.6","16749"
"819169","occ","","","90036","Delphinus delphis","species","64534","","Delphinus delphis","species","64534","Late Pleistocene","","0.126","0.0117","30172"
"819170","occ","","","90036","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Late Pleistocene","","0.126","0.0117","30172"
"819171","occ","","","90036","Tursiops truncatus","species","64472","","Tursiops truncatus","species","102834","Late Pleistocene","","0.126","0.0117","30172"
"819714","occ","","","90111","Orcinus orca","species","64541","","Orcinus orca","species","64540","Holocene","","0.0117","0","30226"
"826801","occ","","","91183","n. gen. Protoglobicephala n. sp. mexicana","species","153756","","Protoglobicephala mexicana","species","153756","Piacenzian","","3.6","2.588","30676"
"841634","occ","","","93310","n. gen. Etruridelphis giulii","species","161692","","Etruridelphis giulii","species","63824","Zanclean","","5.333","3.6","31571"
"872542","occ","","","96706","Globicephala melas","species","64474","","Globicephala melas","species","64473","Late Pleistocene","","0.126","0.0117","32979"
"875015","occ","","","96973","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Holocene","","0.0117","0","33119"
"883983","occ","","","59273","Delphinus sp.","genus","36703","","Delphinus","genus","36703","Zanclean","Piacenzian","5.333","2.588","16958"
"897367","occ","","","99585","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Neogene","","23.03","2.588","27111"
"897479","occ","","","99613","Globicephalus sp.","genus","69229","misspelling of, obsolete variant of","Globicephala","genus","36721","Neogene","","23.03","2.588","27111"
"897500","occ","","","99614","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Neogene","","23.03","2.588","27111"
"897501","occ","","","99615","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Neogene","","23.03","2.588","27111"
"897512","occ","","","99587","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Neogene","","23.03","2.588","34259"
"897516","occ","","","99623","Delphinus sp.","genus","36703","","Delphinus","genus","36703","Neogene","","23.03","2.588","34259"
"897517","occ","","","99623","Globiocephalus sp.","genus","102699","subjective synonym of","Globicephala","genus","36721","Neogene","","23.03","2.588","34259"
"897518","occ","","","99582","Globiocephalus sp.","genus","102699","subjective synonym of","Globicephala","genus","36721","Neogene","","23.03","2.588","34259"
"897519","occ","","","99582","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Neogene","","23.03","2.588","34259"
"897522","occ","","","99584","Globiocephalus sp.","genus","102699","subjective synonym of","Globicephala","genus","36721","Neogene","","23.03","2.588","34259"
"897523","occ","","","99584","Delphinus sp.","genus","36703","","Delphinus","genus","36703","Neogene","","23.03","2.588","34259"
"897526","occ","","","99586","Delphinus sp.","genus","36703","","Delphinus","genus","36703","Neogene","","23.03","2.588","34259"
"897527","occ","","","99586","Globiocephalus sp.","genus","102699","subjective synonym of","Globicephala","genus","36721","Neogene","","23.03","2.588","34259"
"899245","occ","","","100131","Delphinus domeykoi","species","70701","","Delphinus domeykoi","species","70701","Middle Miocene","Late Pliocene","15.97","2.588","34357"
"899246","occ","","","100132","Globicephala sp.","genus","36721","","Globicephala","genus","36721","Middle Miocene","Late Pliocene","15.97","2.588","34357"
"933997","occ","","","107396","n. gen. Platalearostrum n. sp. hoekmani","species","182301","","Platalearostrum hoekmani","species","182301","Late Pliocene","Early Pleistocene","3.6","0.781","35743"
"933999","occ","","","107397","aff. Globicephala sp.","genus","36721","","Globicephala","genus","36721","Late Pliocene","Early Pleistocene","3.6","0.781","35743"
"935494","occ","","","82530","Orcinus orca","species","64541","","Orcinus orca","species","64540","Late Pleistocene","","0.126","0.0117","35842"
"937670","occ","","","108316","Orcaella n. sp. heinsohni","species","183834","","Orcaella heinsohni","species","183834","Holocene","","0.0117","0","35929"
"937671","occ","","","108319","Orcaella heinsohni","species","183834","","Orcaella heinsohni","species","183834","Holocene","","0.0117","0","35929"
"937674","occ","","","108323","Orcaella heinsohni","species","183834","","Orcaella heinsohni","species","183834","Holocene","","0.0117","0","35929"
"937784","occ","","","108338","Delphinus delphis","species","64534","","Delphinus delphis","species","64534","Pliocene","","5.333","2.588","35932"
"961334","occ","","","45593","Eudelphinus compressus","species","191638","","Eudelphinus compressus","species","191638","Pliocene","","5.333","2.588","36661"
"970853","occ","","","115167","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Late Pleistocene","","0.126","0.0117","37301"
"970929","occ","","","115184","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Late Pleistocene","","0.126","0.0117","37303"
"1011665","occ","","","118104","Astadelphis gastaldii","species","95850","","Astadelphis gastaldii","species","63833","Zanclean","","5.333","3.6","39772"
"1011669","occ","","","123588","Astadelphis gastaldii","species","95850","","Astadelphis gastaldii","species","63833","Zanclean","","5.333","3.6","39772"
"1021247","occ","","","125083","Leucopleurus acutus","species","63822","","Leucopleurus acutus","species","102679","Holocene","","0.0117","0","40556"
"1040946","occ","28669","","127489","n. gen. Septidelphis n. sp. morii","species","267872","","Septidelphis morii","species","267872","Zanclean","Piacenzian","5.333","2.588","46792"
"1073962","occ","","","133432","aff. Tursiops sp.","genus","36865","","Tursiops","genus","36865","Pleistocene","","2.588","0.0117","42988"
"1106793","occ","","","115191","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Pleistocene","","2.588","0.0117","45190"
"1182820","occ","","","45494","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Zanclean","","5.333","3.6","49080"
"1190628","occ","","","117471","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Zanclean","","5.333","3.6","49737"
"1190630","occ","","","117471","cf. Globicephalinae indet.","subfamily","63528","","Globicephalinae","subfamily","102698","Zanclean","","5.333","3.6","49737"
"1190969","occ","","","153827","Delphinidae ? indet.","family","42953","","Delphinidae","family","42953","Piacenzian","","3.6","2.588","49844"
"1190970","occ","","","153827","Delphinidae ? indet.","family","42953","","Delphinidae","family","42953","Piacenzian","","3.6","2.588","49844"
"1190975","occ","","","153831","Pseudorca n. sp. yuanliensis","species","287445","nomen nudum","Pseudorca","genus","36837","Piacenzian","","3.6","2.588","49904"
"1191380","occ","","","153826","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Pleistocene","","2.588","0.0117","49894"
"1193379","occ","","","154229","Tursiops maugeanus","species","288410","subjective synonym of","Tursiops truncatus","species","102834","Holocene","","0.0117","0","50061"
"1205534","occ","","","77753","Delphinus (Phocaena) n. sp. uncidens","species","89208","recombined as","Globicephala uncidens","species","89208","Late Pliocene","","3.6","2.588","19136"
"1220509","occ","","","159699","Sousa n. sp. sahulensis","species","301924","","Sousa sahulensis","species","301924","Holocene","","0.0117","0","52162"
"1220633","occ","","","159709","Orcinus orca","species","64541","","Orcinus orca","species","64540","Holocene","","0.0117","0","32630"
"1220635","occ","","","159711","Tursiops truncatus","species","64472","","Tursiops truncatus","species","102834","Holocene","","0.0117","0","32630"
"1220643","occ","","","159716","Orcinus orca","species","64541","","Orcinus orca","species","64540","Holocene","","0.0117","0","32630"
"1220648","occ","","","159720","Orcinus orca","species","64541","","Orcinus orca","species","64540","Holocene","","0.0117","0","32630"
"1220657","occ","","","159727","Lagenorhynchus albirostris","species","63809","","Lagenorhynchus albirostris","species","93926","Holocene","","0.0117","0","32630"
"1220658","occ","","","159728","Orcinus orca","species","64541","","Orcinus orca","species","64540","Holocene","","0.0117","0","32630"
"1264330","occ","","","56359","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Middle Pleistocene","","0.781","0.126","43001"
"1264542","occ","","","167980","Cephalorhynchus eutropia","species","82042","","Cephalorhynchus eutropia","species","82040","Holocene","","0.0117","0","54982"
"1264543","occ","","","167981","Cephalorhynchus heavisidii","species","82045","","Cephalorhynchus heavisidii","species","82044","Holocene","","0.0117","0","54983"
"1264544","occ","","","167982","Steno bredanensis","species","64536","","Steno bredanensis","species","63567","Holocene","","0.0117","0","54984"
"1264545","occ","","","167983","Steno bredanensis","species","64536","","Steno bredanensis","species","63567","Holocene","","0.0117","0","54984"
"1264546","occ","","","167984","Steno bredanensis","species","64536","","Steno bredanensis","species","63567","Holocene","","0.0117","0","54984"
"1264547","occ","","","167985","Steno bredanensis","species","64536","","Steno bredanensis","species","63567","Holocene","","0.0117","0","54984"
"1264548","occ","","","167987","Steno bredanensis","species","64536","","Steno bredanensis","species","63567","Holocene","","0.0117","0","54984"
"1264549","occ","","","167988","Steno bredanensis","species","64536","","Steno bredanensis","species","63567","Holocene","","0.0117","0","54984"
"1264550","occ","","","167989","Steno bredanensis","species","64536","","Steno bredanensis","species","63567","Holocene","","0.0117","0","54984"
"1264551","occ","","","167990","Steno bredanensis","species","64536","","Steno bredanensis","species","63567","Holocene","","0.0117","0","54984"
"1264552","occ","","","167991","Steno bredanensis","species","64536","","Steno bredanensis","species","63567","Holocene","","0.0117","0","54984"
"1264553","occ","","","167992","Steno bredanensis","species","64536","","Steno bredanensis","species","63567","Holocene","","0.0117","0","54984"
"1264564","occ","","","167993","Sousa teuszii","species","128812","","Sousa teuszii","species","69752","Holocene","","0.0117","0","54986"
"1265915","occ","","","168093","Tursiops truncatus","species","64472","","Tursiops truncatus","species","102834","Holocene","","0.0117","0","55061"
"1265916","occ","","","168094","Tursiops truncatus","species","64472","","Tursiops truncatus","species","102834","Holocene","","0.0117","0","55061"
"1265917","occ","","","168095","Tursiops truncatus","species","64472","","Tursiops truncatus","species","102834","Holocene","","0.0117","0","55061"
"1265918","occ","","","168096","Tursiops truncatus","species","64472","","Tursiops truncatus","species","102834","Holocene","","0.0117","0","55061"
"1265919","occ","","","168097","Tursiops truncatus","species","64472","","Tursiops truncatus","species","102834","Holocene","","0.0117","0","55061"
"1265922","occ","","","168098","Stenella attenuata","species","64533","recombined as","Delphinus attenuata","species","93945","Holocene","","0.0117","0","55062"
"1265923","occ","","","168099","Stenella attenuata","species","64533","recombined as","Delphinus attenuata","species","93945","Holocene","","0.0117","0","55062"
"1265924","occ","","","168100","Stenella attenuata","species","64533","recombined as","Delphinus attenuata","species","93945","Holocene","","0.0117","0","55062"
"1265925","occ","","","168101","Stenella attenuata","species","64533","recombined as","Delphinus attenuata","species","93945","Holocene","","0.0117","0","55062"
"1265926","occ","","","168102","Stenella attenuata","species","64533","recombined as","Delphinus attenuata","species","93945","Holocene","","0.0117","0","55062"
"1265927","occ","","","168103","Stenella attenuata","species","64533","recombined as","Delphinus attenuata","species","93945","Holocene","","0.0117","0","55062"
"1265928","occ","","","168104","Delphinus delphis","species","64534","","Delphinus delphis","species","64534","Holocene","","0.0117","0","55063"
"1265929","occ","","","168105","Delphinus delphis","species","64534","","Delphinus delphis","species","64534","Holocene","","0.0117","0","55063"
"1265930","occ","","","168106","Delphinus delphis","species","64534","","Delphinus delphis","species","64534","Holocene","","0.0117","0","55063"
"1265931","occ","","","168107","Delphinus delphis","species","64534","","Delphinus delphis","species","64534","Holocene","","0.0117","0","55063"
"1265935","occ","","","168108","Delphinus delphis","species","64534","","Delphinus delphis","species","64534","Holocene","","0.0117","0","55063"
"1265936","occ","","","168109","Delphinus delphis","species","64534","","Delphinus delphis","species","64534","Holocene","","0.0117","0","55063"
"1265937","occ","","","168110","Delphinus delphis","species","64534","","Delphinus delphis","species","64534","Holocene","","0.0117","0","55063"
"1266011","occ","","","168113","Lagenodelphis hosei","species","63574","","Lagenodelphis hosei","species","63574","Holocene","","0.0117","0","55075"
"1266012","occ","","","168114","Lagenodelphis hosei","species","63574","","Lagenodelphis hosei","species","63574","Holocene","","0.0117","0","55075"
"1266013","occ","","","168115","Lagenodelphis hosei","species","63574","","Lagenodelphis hosei","species","63574","Holocene","","0.0117","0","55075"
"1266014","occ","","","168116","Lagenodelphis hosei","species","63574","","Lagenodelphis hosei","species","63574","Holocene","","0.0117","0","55075"
"1266015","occ","","","168117","Lagenodelphis hosei","species","63574","","Lagenodelphis hosei","species","63574","Holocene","","0.0117","0","55075"
"1266016","occ","","","168118","Lagenodelphis hosei","species","63574","","Lagenodelphis hosei","species","63574","Holocene","","0.0117","0","55075"
"1266017","occ","","","168119","Lagenodelphis hosei","species","63574","","Lagenodelphis hosei","species","63574","Holocene","","0.0117","0","55075"
"1266018","occ","","","168120","Lagenodelphis hosei","species","63574","","Lagenodelphis hosei","species","63574","Holocene","","0.0117","0","55075"
"1266019","occ","","","168122","Lagenodelphis hosei","species","63574","","Lagenodelphis hosei","species","63574","Holocene","","0.0117","0","55075"
"1266020","occ","","","168121","Lagenodelphis hosei","species","63574","","Lagenodelphis hosei","species","63574","Holocene","","0.0117","0","55075"
"1266021","occ","","","168123","Lagenorhynchus albirostris","species","63809","","Lagenorhynchus albirostris","species","93926","Holocene","","0.0117","0","55077"
"1266022","occ","","","168124","Lagenorhynchus albirostris","species","63809","","Lagenorhynchus albirostris","species","93926","Holocene","","0.0117","0","55077"
"1266023","occ","","","168125","Lagenorhynchus albirostris","species","63809","","Lagenorhynchus albirostris","species","93926","Holocene","","0.0117","0","55077"
"1266024","occ","","","168126","Lagenorhynchus australis","species","82069","invalid subgroup of","Lissodelphininae","subfamily","63525","Holocene","","0.0117","0","55077"
"1266025","occ","","","168127","Lagenorhynchus australis","species","82069","invalid subgroup of","Lissodelphininae","subfamily","63525","Holocene","","0.0117","0","55077"
"1266026","occ","","","168128","Lagenorhynchus australis","species","82069","invalid subgroup of","Lissodelphininae","subfamily","63525","Holocene","","0.0117","0","55077"
"1266027","occ","","","168129","Lagenorhynchus obliquidens","species","63815","invalid subgroup of","Lissodelphininae","subfamily","63525","Holocene","","0.0117","0","55077"
"1266028","occ","","","168130","Lagenorhynchus obliquidens","species","63815","invalid subgroup of","Lissodelphininae","subfamily","63525","Holocene","","0.0117","0","55077"
"1266029","occ","","","168131","Lagenorhynchus cruciger","species","63811","invalid subgroup of","Lissodelphininae","subfamily","63525","Holocene","","0.0117","0","55077"
"1266030","occ","","","168133","Lagenorhynchus cruciger","species","63811","invalid subgroup of","Lissodelphininae","subfamily","63525","Holocene","","0.0117","0","55077"
"1266031","occ","","","168134","Lissodelphis peronii","species","82071","","Lissodelphis peronii","species","82070","Holocene","","0.0117","0","55078"
"1266032","occ","","","168135","Lissodelphis peronii","species","82071","","Lissodelphis peronii","species","82070","Holocene","","0.0117","0","55078"
"1266033","occ","","","168136","Lissodelphis peronii","species","82071","","Lissodelphis peronii","species","82070","Holocene","","0.0117","0","55078"
"1266034","occ","","","168137","Lissodelphis peronii","species","82071","","Lissodelphis peronii","species","82070","Holocene","","0.0117","0","55078"
"1266035","occ","","","168138","Lissodelphis peronii","species","82071","","Lissodelphis peronii","species","82070","Holocene","","0.0117","0","55078"
"1266036","occ","","","168139","Lissodelphis peronii","species","82071","","Lissodelphis peronii","species","82070","Holocene","","0.0117","0","55078"
"1266037","occ","","","168141","Lissodelphis borealis","species","63572","","Lissodelphis borealis","species","63571","Holocene","","0.0117","0","55078"
"1266038","occ","","","168140","Lissodelphis borealis","species","63572","","Lissodelphis borealis","species","63571","Holocene","","0.0117","0","55078"
"1266042","occ","","","168142","Grampus griseus","species","63557","","Grampus griseus","species","63556","Holocene","","0.0117","0","55079"
"1266043","occ","","","168143","Grampus griseus","species","63557","","Grampus griseus","species","63556","Holocene","","0.0117","0","55079"
"1266044","occ","","","168144","Grampus griseus","species","63557","","Grampus griseus","species","63556","Holocene","","0.0117","0","55079"
"1266045","occ","","","168145","Grampus griseus","species","63557","","Grampus griseus","species","63556","Holocene","","0.0117","0","55079"
"1266046","occ","","","168146","Grampus griseus","species","63557","","Grampus griseus","species","63556","Holocene","","0.0117","0","55079"
"1266048","occ","","","168147","Grampus griseus","species","63557","","Grampus griseus","species","63556","Holocene","","0.0117","0","55079"
"1266049","occ","","","168148","Grampus griseus","species","63557","","Grampus griseus","species","63556","Holocene","","0.0117","0","55079"
"1266050","occ","","","168149","Grampus griseus","species","63557","","Grampus griseus","species","63556","Holocene","","0.0117","0","55079"
"1266051","occ","","","168150","Grampus griseus","species","63557","","Grampus griseus","species","63556","Holocene","","0.0117","0","55079"
"1266052","occ","","","168151","Grampus griseus","species","63557","","Grampus griseus","species","63556","Holocene","","0.0117","0","55079"
"1266053","occ","","","168152","Grampus griseus","species","63557","","Grampus griseus","species","63556","Holocene","","0.0117","0","55079"
"1266054","occ","","","168153","Peponocephala electra","species","63581","","Peponocephala electra","species","63580","Holocene","","0.0117","0","25906"
"1266055","occ","","","168154","Peponocephala electra","species","63581","","Peponocephala electra","species","63580","Holocene","","0.0117","0","25906"
"1266056","occ","","","168155","Peponocephala electra","species","63581","","Peponocephala electra","species","63580","Holocene","","0.0117","0","25906"
"1266057","occ","","","168156","Peponocephala electra","species","63581","","Peponocephala electra","species","63580","Holocene","","0.0117","0","25906"
"1266058","occ","","","168157","Peponocephala electra","species","63581","","Peponocephala electra","species","63580","Holocene","","0.0117","0","25906"
"1266059","occ","","","168158","Peponocephala electra","species","63581","","Peponocephala electra","species","63580","Holocene","","0.0117","0","25906"
"1266060","occ","","","168159","Peponocephala electra","species","63581","","Peponocephala electra","species","63580","Holocene","","0.0117","0","25906"
"1266061","occ","","","168160","Peponocephala electra","species","63581","","Peponocephala electra","species","63580","Holocene","","0.0117","0","25906"
"1266062","occ","","","168161","Peponocephala electra","species","63581","","Peponocephala electra","species","63580","Holocene","","0.0117","0","25906"
"1266063","occ","","","168162","Peponocephala electra","species","63581","","Peponocephala electra","species","63580","Holocene","","0.0117","0","25906"
"1266064","occ","","","168163","Feresa attenuata","species","63583","","Feresa attenuata","species","63583","Holocene","","0.0117","0","55081"
"1266065","occ","","","168165","Feresa attenuata","species","63583","","Feresa attenuata","species","63583","Holocene","","0.0117","0","55081"
"1266066","occ","","","168166","Feresa attenuata","species","63583","","Feresa attenuata","species","63583","Holocene","","0.0117","0","55081"
"1266067","occ","","","168167","Feresa attenuata","species","63583","","Feresa attenuata","species","63583","Holocene","","0.0117","0","55081"
"1266069","occ","","","168168","Feresa attenuata","species","63583","","Feresa attenuata","species","63583","Holocene","","0.0117","0","55081"
"1266070","occ","","","168170","Feresa attenuata","species","63583","","Feresa attenuata","species","63583","Holocene","","0.0117","0","55081"
"1266071","occ","","","168171","Feresa attenuata","species","63583","","Feresa attenuata","species","63583","Holocene","","0.0117","0","55081"
"1266072","occ","","","168172","Feresa attenuata","species","63583","","Feresa attenuata","species","63583","Holocene","","0.0117","0","55081"
"1266073","occ","","","168174","Feresa attenuata","species","63583","","Feresa attenuata","species","63583","Holocene","","0.0117","0","55081"
"1266074","occ","","","168173","Feresa attenuata","species","63583","","Feresa attenuata","species","63583","Holocene","","0.0117","0","55081"
"1266075","occ","","","168175","Pseudorca crassidens","species","64544","","Pseudorca crassidens","species","64543","Holocene","","0.0117","0","55081"
"1266076","occ","","","168176","Pseudorca crassidens","species","64544","","Pseudorca crassidens","species","64543","Holocene","","0.0117","0","55081"
"1266077","occ","","","168178","Pseudorca crassidens","species","64544","","Pseudorca crassidens","species","64543","Holocene","","0.0117","0","55081"
"1266078","occ","","","168179","Pseudorca crassidens","species","64544","","Pseudorca crassidens","species","64543","Holocene","","0.0117","0","55081"
"1266079","occ","","","168180","Pseudorca crassidens","species","64544","","Pseudorca crassidens","species","64543","Holocene","","0.0117","0","55081"
"1266080","occ","","","168181","Pseudorca crassidens","species","64544","","Pseudorca crassidens","species","64543","Holocene","","0.0117","0","55081"
"1266081","occ","","","168182","Pseudorca crassidens","species","64544","","Pseudorca crassidens","species","64543","Holocene","","0.0117","0","55081"
